País;População;Ano
China;1364270000;2014
Índia;1295291543;2014
Estados Unidos;318857056;2014
Indonésia;254454778;2014
Brasil;206077898;2014
Paquistão;185044286;2014
Nigéria;177475986;2014
Bangladesh;159077513;2014
Rússia;143819569;2014
Japão;127131800;2014
México;125385833;2014
Filipinas;99138690;2014
Etiópia;96958732;2014
Vietnã;90730000;2014
Egito;89579670;2014
Alemanha;80889505;2014
Irã;78143644;2014
Turquia;75932348;2014
República Democrática do Congo;74877030;2014
Tailândia;67725979;2014
França;66206930;2014
Reino Unido;64510376;2014
Itália;61336387;2014
África do Sul;54001953;2014
Mianmar [Birmânia];53437159;2014
Tanzânia;51822621;2014
Coréia do Sul;50423955;2014
Colômbia;47791393;2014
Espanha;46404602;2014
Ucrânia;45362900;2014
Quênia;44863583;2014
Argentina;42980026;2014
Sudão;39350274;2014
Argélia;38934334;2014
Polônia;37995529;2014
Uganda;37782971;2014
Canadá;35540419;2014
Iraque;34812326;2014
Marrocos;33921203;2014
Afeganistão;31627506;2014
Peru;30973148;2014
Arábia Saudita;30886545;2014
Uzbequistão;30757700;2014
Venezuela;30693827;2014
Malásia;29901997;2014
Nepal;28174724;2014
Moçambique;27216276;2014
Gana;26786598;2014
Iêmen;26183676;2014
Coréia do Norte;25026772;2014
Angola;24227524;2014
Madagascar;23571713;2014
Austrália;23490736;2014
Camarões;22773014;2014
Síria;22157800;2014
Costa do Marfim;22157107;2014
Sri Lanka;20639000;2014
Romênia;19910995;2014
Níger;19113728;2014
Chile;17762647;2014
Burkina Fasso;17589198;2014
Cazaquistão;17289111;2014
Mali;17086022;2014
Países Baixos;16854183;2014
Malauí;16695253;2014
Guatemala;16015494;2014
Equador;15902916;2014
Zâmbia;15721343;2014
Camboja;15328136;2014
Zimbábue;15245855;2014
Senegal;14672557;2014
Chade;13587053;2014
Guiné;12275527;2014
Sudão do Sul;11911184;2014
Cuba;11379111;2014
Ruanda;11341544;2014
Bélgica;11225207;2014
Tunísia;10996600;2014
Grécia;10957740;2014
Burundi;10816860;2014
Benin;10598482;2014
Haiti;10572029;2014
Bolívia;10561887;2014
Somália;10517569;2014
República Checa;10510566;2014
República Dominicana;10405943;2014
Portugal;10397393;2014
Hungria;9861673;2014
Suécia;9689555;2014
Azerbaijão;9537823;2014
Bielo-Rússia;9470000;2014
Emirados Árabes Unidos;9086139;2014
Áustria;8534492;2014
Tajiquistão;8295840;2014
Israel;8215300;2014
Suíça;8190229;2014
Honduras;7961680;2014
Papua-Nova Guiné;7463577;2014
Bulgária;7223938;2014
Sérvia;7129428;2014
Togo;7115163;2014
Laos;6689300;2014
Jordânia;6607000;2014
Paraguai;6552518;2014
Serra Leoa;6315627;2014
Líbia;6258984;2014
El Salvador;6107706;2014
Nicarágua;6013913;2014
Quirguistão;5834200;2014
Dinamarca;5639565;2014
Cingapura;5469700;2014
Finlândia;5463596;2014
Eslováquia;5418506;2014
Turcomenistão;5307188;2014
Noruega;5136475;2014
Eritreia;5110444;2014
República Centro-Africana;4804316;2014
Costa Rica;4757606;2014
Irlanda;4612719;2014
Líbano;4546774;2014
Nova Zelândia;4509700;2014
República do Congo;4504962;2014
Geórgia;4504100;2014
Libéria;4396554;2014
Croácia;4238389;2014
Omã;4236057;2014
Mauritânia;3969625;2014
Panamá;3867535;2014
Bósnia-Herzegóvina;3817554;2014
Kuwait;3753121;2014
Moldova;3556400;2014
Uruguai;3419516;2014
Armênia;3006154;2014
Lituânia;2929323;2014
Mongólia;2909871;2014
Albânia;2894475;2014
Jamaica;2721252;2014
Namíbia;2402858;2014
Botsuana;2219937;2014
Catar;2172065;2014
Lesoto;2109197;2014
Macedônia;2075625;2014
Eslovênia;2062218;2014
Letônia;1990351;2014
Gâmbia;1928201;2014
Guiné-Bissau;1800513;2014
Gabão;1687673;2014
Bahrain;1361930;2014
Trindade e Tobago;1354483;2014
Estônia;1313645;2014
Suazilândia;1269112;2014
Maurício;1260934;2014
Timor-Leste;1212107;2014
Chipre;1153658;2014
Fiji;886450;2014
Djibuti;876174;2014
Guiné Equatorial;820885;2014
Ilhas Comores;769991;2014
Butão;765008;2014
Guiana;763893;2014
Montenegro;621800;2014
Ilhas Salomão;572171;2014
Luxemburgo;556074;2014
Suriname;538248;2014
Cabo Verde;513906;2014
Malta;427404;2014
Brunei;417394;2014
Maldivas;401000;2014
Bahamas;383054;2014
Belize;351706;2014
Islândia;327589;2014
Barbados;283380;2014
Vanuatu;258883;2014
Samoa;191845;2014
São Tomé e Príncipe;186342;2014
Santa Lúcia;183645;2014
Quiribati;110470;2014
São Vincente e Granadinas;109360;2014
Granada;106349;2014
Tonga;105586;2014
Micronésia;104044;2014
Ilhas Seychelles;91526;2014
Antígua e Barbuda;90900;2014
Andorra;72786;2014
Dominica;72341;2014
São Cristóvão e Névis;54944;2014
Ilhas Marshall;52898;2014
Mônaco;37623;2014
Lichtenstein;37286;2014
San Marino;31595;2014
Palau;21097;2014
Tuvalu;9893;2014
